"CNPJ";"CD_CVM";"DENOM_SOCIAL"
"07.043.628/0001-13";23531;"CLARO TELECOM PARTICIPAÇÕES S.A."
"03.802.115/0001-98";26093;"CLEAR SALE S.A"
"60.882.610/0001-98";4413;"CLIMAX INDUSTRIA E COMERCIO SA"
"03.016.682/0001-19";18449;"CLINICA MÉDICA VITA S.A"
"00.484.920/0001-22";14982;"CLUBEPAR SA"
"12.420.164/0001-57";25682;"CM HOSPITALAR S.A"
"31.959.356/0001-80";13323;"CMA PARTICIPAÇÕES SA"
"29.116.951/0001-02";12890;"CMP CIA DE MINERACAO E PART"
"06.571.822/0001-09";12882;"CNV CIA NACIONAL DO VESTUARIO"
"04.030.087/0001-09";19089;"COARI PARTICIPAÇÕES SA"
"61.576.385/0001-24";4430;"COBRASFER SA"
"61.080.313/0001-91";4448;"COBRASMA SA"
"32.372.085/0001-25";24724;"COBUCCIO SECURITIZADORA DE CRÉDITOS S.A."
"00.826.535/0001-16";15237;"CODUNAS SA"
"17.174.418/0001-18";4464;"COEMP COMERCIO E EMPREEND SA"
"61.104.717/0001-78";4472;"COEST CONSTRUTORA SA"
"57.500.001/0001-12";4480;"COFAP CIA FABRICADORA PECAS"
"02.800.026/0001-40";17973;"COGNA EDUCAÇÃO S.A."
"61.460.762/0001-65";7552;"COINVEST CIA. DE INV. INTERLAGOS"
"08.331.753/0001-91";4499;"COIRG CIA INDUSTRIAL RIOGRANDENSE NORTE"
"61.189.601/0001-89";12459;"COLDEX FRIGOR SA"
"61.565.552/0001-31";4502;"COLMEIA SA IND.PAULISTA RAD."
"47.309.463/0001-01";13510;"COLUMBIA PARTICIPACOES SA"
"25.369.840/0001-57";26280;"COMERC PARTICIPAÇÕES S.A."
"17.177.973/0001-01";4375;"COMERCIAL IMPORTADORA SA"
"00.994.533/0001-36";15652;"COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO"
"33.078.262/0001-28";4545;"COMERCIO E INDUSTRIA INDUCO SA"
"60.394.939/0001-00";4570;"COMIND BANCO INVESTIMENTO SA"
"47.184.932/0001-03";12173;"COMIND LEASING SA ARR MERC"
"61.364.022/0001-25";1058;"COMIND PARTICIPACOES SA"
"61.364.345/0001-19";4553;"COMIND SA"
"61.181.251/0001-04";4561;"COMIND SA SERV TEC PROC DADOS"
"62.297.502/0001-83";4634;"COMMANDER SA"
"04.896.759/0001-55";2720;"COMPANHIA  AMAZÔNIA TÊXTIL DE  ANIAGEM"
"62.791.116/0001-43";2763;"COMPANHIA  ELDORADO DE HOTEIS"
"60.730.348/0001-66";3654;"COMPANHIA  MELHORAMENTOS DE SÃO PAULO"
"27.251.974/0001-02";14117;"COMPANHIA  SIDERÚRGICA  DE  TUBARÃO"
"12.078.880/0001-06";22870;"COMPANHIA AURIFERA BRASILEIRA SA"
"61.409.892/0001-73";25984;"COMPANHIA BRASILEIRA DE ALUMINIO"
"60.522.000/0001-83";2755;"COMPANHIA BRASILEIRA DE BEBIDAS ( Atual demominação  social da Cia Antarctica Paulista IBBC)"
"57.494.031/0001-63";13315;"COMPANHIA BRASILEIRA DE CARTUCHOS - CBC"
"47.508.411/0001-56";14826;"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO"
"47.508.411/0001-56";14826;"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO"
"22.983.283/0001-71";23949;"COMPANHIA CARIOCA DE SECURITIZAÇÃO"
"08.560.444/0001-93";21393;"COMPANHIA CELG DE PARTICIPAÇÕES - CELGPAR"
"24.030.025/0001-04";2933;"COMPANHIA CIMENTO PORTLAND ITAU"
"07.040.108/0001-57";18546;"COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ  - CAGECE"
"02.808.708/0001-07";18112;"COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV"
"61.784.278/0001-91";22993;"COMPANHIA DE CRÉDITO FINANCIAMENTO E INVESTIMENTO RCI BRASIL"
"47.189.014/0001-69";14125;"COMPANHIA DE EMBALAGENS METÁLICAS - MMSA"
"17.245.234/0001-00";3077;"COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA"
"22.261.473/0001-85";25178;"COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG"
"61.856.571/0001-17";15636;"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS"
"61.856.571/0001-17";15636;"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS"
"01.028.049/0001-15";15415;"COMPANHIA DE INVESTIMENTOS PARTICIPAR"
"10.215.988/0001-60";22691;"COMPANHIA DE LOCAÇÃO DAS AMERICAS"
"01.996.119/0001-29";16454;"COMPANHIA DE PARTICIPAÇÕES ALPHA"
"17.281.106/0001-03";19445;"COMPANHIA DE SANEAMENTO DE MINAS GERAIS"
"17.281.106/0001-03";19445;"COMPANHIA DE SANEAMENTO DE MINAS GERAIS"
"25.089.509/0001-83";23809;"COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS"
"00.070.698/0001-11";14451;"COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB"
"28.925.264/0001-75";24422;"COMPANHIA ENERGÉTICA JAGUARA"
"28.942.127/0001-49";24430;"COMPANHIA ENERGÉTICA MIRANDA"
"19.527.586/0001-75";24155;"COMPANHIA ENERGÉTICA SINOP S.A."
"12.646.054/0001-08";23124;"COMPANHIA FERRÍFERA BRASILEIRA S.A."
"31.456.338/0001-86";3263;"COMPANHIA FLUMINENSE DE REFRIGERANTES"
"19.526.748/0001-50";3395;"COMPANHIA INDUSTRIAL CATAGUASES"
"21.254.073/0001-80";3450;"COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES"
"08.493.364/0001-62";21709;"COMPANHIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES"
"42.416.651/0001-07";12130;"COMPANHIA PARAIBUNA DE METAIS"
"76.483.817/0001-20";14311;"COMPANHIA PARANAENSE DE ENERGIA COPEL"
"76.483.817/0001-20";14311;"COMPANHIA PARANAENSE DE ENERGIA COPEL"
"23.043.212/0001-51";23914;"COMPANHIA PARANAENSE DE SECURITIZAÇÃO - PRSEC"
"33.050.196/0001-88";3824;"COMPANHIA PAULISTA DE FORCA LUZ - CPFL"
"11.274.829/0001-07";22080;"COMPANHIA PAULISTA DE SECURITIZAÇÃO"
"57.487.142/0001-42";3808;"COMPANHIA PAULISTA FERRO LIGAS"
"76.500.180/0001-32";20974;"COMPANHIA PROVIDENCIA IND E COMERCIO"
"27.137.879/0001-74";24147;"COMPANHIA SEC. DE CRÉDITOS FIN. CARTÕES CONSIGNADOS BMG"
"30.418.658/0001-89";24520;"COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-NEXOOS"
"37.368.315/0001-04";25593;"COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS - VERT 5"
"32.770.457/0001-71";25020;"COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS VERT-GYRA"
"34.469.625/0001-19";25267;"COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-PROVI"
"30.219.233/0001-40";24511;"COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-REBEL"
"35.522.281/0001-27";26263;"COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-VIRTUS"
"02.790.893/0001-41";18317;"COMPANHIA SIDERÚRGICA PAULISTA - COSIPA"
"60.651.726/0001-16";4065;"COMPANHIA SUZANO DE PAPEL E CELULOSE"
"87.762.563/0001-03";3298;"COMPANHIIA HABITASUL DE PARTICIPAÇÕES"
"97.406.706/0001-90";14990;"COMPAQ FINANCIAL SERVICES ARREND MERC SA"
"04.928.297/0001-00";4588;"COMPAR CIA PAR REFRIGERANTES"
"21.389.501/0001-81";25127;"COMPASS GÁS E ENERGIA S.A."
"61.231.155/0001-23";4596;"COMPESCA CIA BRAS DE PESCA - EM LIQUIDAÇÃO"
"54.540.448/0001-27";14230;"COMPUGRAF TECNOL. E SISTEMA SA"
"10.678.505/0001-63";22721;"CONC RODOVIAS DO TIETÊ S.A.- EM RECUPERAÇÃO JUDICIAL"
"15.578.569/0001-06";23515;"CONC. DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A."
"18.572.225/0001-88";23868;"CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A."
"01.654.604/0001-14";17590;"CONCES DA ROD OSÓRIO-POA S/A - CONCEPA"
"02.327.817/0001-02";16810;"CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A."
"10.324.624/0001-18";22144;"CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO SA"
"10.531.501/0001-58";22268;"CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART"
"10.531.501/0001-58";22268;"CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART"
"10.531.501/0001-58";22268;"CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART"
"19.726.048/0001-00";23892;"CONCESSIONÁRIA BR-040 S.A."
"08.822.767/0001-08";24104;"CONCESSIONÁRIA DA RODOVIA MG-050 S.A."
"10.841.050/0001-55";22411;"CONCESSIONÁRIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A-ECOPISTAS"
"32.161.500/0001-00";25356;"CONCESSIONÁRIA DAS RODOVIAS INTEGRADAS DO SUL S.A."
"19.642.306/0001-70";23833;"CONCESSIONÁRIA DE RODOVIA SUL-MATOGROSSENSE S.A."
"03.207.703/0001-83";21849;"CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A"
"02.415.408/0001-50";21024;"CONCESSIONARIA DE RODOVIAS DO OESTE DE SP-VIA OESTE SA"
"02.451.848/0001-62";20192;"CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A."
"02.451.848/0001-62";20192;"CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A."
"15.090.690/0001-94";26638;"CONCESSIONARIA ECOVIAS DO ARAGUAIA S.A."
"35.593.905/0001-05";26581;"CONCESSIONÁRIA ECOVIAS DO CERRADO S.A."
"02.509.491/0001-26";20397;"CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA"
"22.163.297/0001-49";24139;"CONCESSIONARIA PONTE RIO-NITERÓI S.A. - ECOPONTE"
"00.938.574/0001-05";19208;"CONCESSIONARIA RIO-TERESOPOLIS SA"
"00.861.626/0001-92";19577;"CONCESSIONÁRIA RODOVIA PRESIDENTE DUTRA S/A"
"10.647.979/0001-48";22071;"CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A"
"19.521.322/0001-04";23922;"CONCESSIONÁRIA ROTA DO OESTE S.A."
"15.103.039/0001-01";4600;"CONCIC ENGENHARIA SA"
"60.883.824/0001-89";4618;"CONCRETEX SA"
"01.284.807/0001-66";15660;"CONDOMINIUM VILLAGE SA"
"04.088.846/0001-86";19054;"CONEPAR PETROQUIMICA SA"
"60.882.628/0001-90";4650;"CONFAB INDUSTRIAL SA"
"02.736.470/0001-43";18236;"CONFIANZA SECURITIZADORA SA"
"59.106.484/0001-09";4677;"CONFORJA SA CONEXOES DE ACO"
"01.123.176/0001-01";15563;"CONOVER TRADING SA"
"43.081.017/0001-23";13544;"CONPART IND ELETRONICA S/A"
"09.116.278/0001-01";4685;"CONPEL CIA. NORDESTINA DE PAPEL - EM RECUPERAÇÃO JUDICIAL"
"97.191.902/0001-94";4693;"CONSERVAS ODERICH SA"
"29.894.663/0001-89";24899;"CONSIGNADOS I COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS"
"17.193.806/0001-46";4707;"CONSORCIO ALFA DE ADMINISTRAÇÃO SA"
"01.395.591/0001-06";15814;"CONSPREVI SA"
"61.022.042/0001-18";4723;"CONST ADOLPHO LINDENBERG SA"
"17.262.213/0001-94";4740;"CONST ANDRADE GUTIERREZ SA"
"43.382.027/0001-07";13277;"CONST CENTENARIO SA EMP E PART"
"60.395.167/0001-20";4766;"CONST CIVIL INDL SA"
"46.014.635/0001-49";4774;"CONST LIX DA CUNHA SA"
"33.265.695/0001-92";11959;"CONST PRESIDENTE SA"
"89.723.993/0001-33";13030;"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL"
"61.522.512/0001-02";4715;"CONSTRUCOES COM CAM CORREA SA"
"61.192.373/0001-04";4758;"CONSTRUTORA BETER SA"
"15.102.288/0001-82";4790;"CONSTRUTORA NORBERTO ODEBRECHT S.A."
"71.476.527/0001-35";21148;"CONSTRUTORA TENDA S/A"
"84.684.349/0001-80";4804;"CONSUL SA"
"17.632.564/0001-40";23256;"CONSULT SECURITIZADORA S/A"
"31.594.055/0001-09";24651;"CONTAGEM SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A."
"61.535.241/0001-20";13820;"CONTEX CONFECÇÕES TEXTEIS SA"
"07.802.794/0001-56";26158;"CONTOUR GLOBAL DO BRASIL PARTICIPAÇÕES S.A."
"17.250.986/0001-50";4731;"CONVAP ENG CONSTRUCOES SA"
"09.462.850/0001-86";21598;"COPACABANA PRINCE PARTICIPAÇÕES S.A."
"04.895.066/0001-48";4812;"COPALA INDUSTRIAS REUNIDAS SA"
"04.368.898/0001-06";26808;"COPEL DISTRIBUIÇÃO S.A."
"04.370.282/0001-70";24740;"COPEL GERAÇÃO E TRANSMISSÃO S/A"
"15.660.004/0001-73";4642;"COPENE PARTICIPAÇÕES S/A"
"10.265.949/0001-77";22535;"COPERSUCAR SA"
"88.948.492/0001-92";14044;"COPESUL - COMPANHIA PETROQUÍMICA DO SUL"
"29.845.329/0001-35";24570;"COPISEC SECURITIZADORA DE CRÉDITOS FINANCEIROS SA"
"92.670.959/0001-52";4839;"CORBETTA SA IND COM"
"25.865.452/0001-67";4847;"COREVA SA PRO AGRI PEC IND COM"
"15.101.405/0001-93";4863;"CORREA RIBEIRO SA COM IND"
"62.092.739/0001-28";20923;"COSAN ALIMENTOS S.A."
"17.346.997/0001-39";23485;"COSAN LOGÍSTICA S.A."
"50.746.577/0001-15";19836;"COSAN S.A."
"44.689.123/0001-57";12220;"COSTA PINTO S.A."
"61.190.047/0001-50";4871;"COTONIFICIO BELTRAMO SA"
"09.929.746/0001-59";4901;"COTONOFICIO JOSE RUFINO SA"
"03.410.855/0001-89";19216;"CP CIMENTO E PARTICIPAÇÕES  S/A"
"02.429.144/0001-93";18660;"CPFL ENERGIA SA"
"02.429.144/0001-93";18660;"CPFL ENERGIA SA"
"08.439.659/0001-50";20540;"CPFL ENERGIAS RENOVÁVEIS S.A."
"08.439.659/0001-50";20540;"CPFL ENERGIAS RENOVÁVEIS S.A."
"03.953.509/0001-47";18953;"CPFL GERAÇÃO DE ENERGIA S/A"
"02.150.569/0001-69";20281;"CPFL JAGUARIÚNA S.A."
"65.599.953/0001-63";20290;"CPM BRAXIS S/A"
"07.081.339/0001-09";19666;"CR2 CIA SECURITIZADORA DE CREDITOS IMOBILIÁRIOS"
"07.820.907/0001-46";20630;"CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A"
"34.098.442/0001-34";4936;"CREDICARD SA ADMN CARTOES CRED"
"49.923.766/0001-37";11665;"CREDIT COMML FRANCE SA AR MERC"
"82.641.325/0001-18";4960;"CREMER SA"
"82.641.325/0001-18";20141;"CREMER SA"
"15.104.060/0001-21";12955;"CRESAL EXP SA IND E COMERCIO"
"62.984.091/0001-02";25526;"CRUZEIRO DO SUL EDUCACIONAL S.A."
"33.258.518/0001-89";4995;"CRUZEIRO DO SUL SA SERV AEREOS"
"35.502.310/0001-99";25739;"CS BRASIL PARTICIPAÇÕES E LOCAÇÕES S.A."
"05.889.284/0001-32";19470;"CSA-COMPANHIA SECURITIZADORA DE ATIVOS"
"00.624.910/0001-45";16020;"CSM CARTOES DE SEGURANCA SA"
"08.902.291/0001-15";25585;"CSN MINERAÇÃO S.A."
"01.896.779/0001-38";20044;"CSU CARDSYSTEM S/A"
"06.981.381/0001-13";23981;"CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A."
"02.998.611/0001-04";18376;"CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA"
"02.998.611/0001-04";18376;"CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA"
"02.432.056/0001-40";17086;"CTMR CELULAR SA"
"06.879.308/0001-35";16799;"CTN AGROINDUSTRIA E PARTICIPAÇÕES S/A"
"09.601.322/0001-60";21652;"CTX PARTICIPAÇÕES S/A - EM LIQUIDAÇÃO"
"61.323.226/0001-18";12076;"CURT SA"
"13.073.580/0001-99";5002;"CURTUME INDL NE B SA CURTINBRA"
"06.269.435/0001-12";5010;"CURTUMES DO NORDESTE SA"
"08.797.760/0001-83";25100;"CURY CONSTRUTORA E INCORPORADORA S.A."
"10.760.260/0001-19";23310;"CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA"
"10.760.260/0001-19";23310;"CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA"
"73.178.600/0001-18";14460;"CYRELA BRAZIL REALTY SA EMPRS E PARTS"
"96.735.006/0001-86";12742;"CZARINA SA"
"61.482.725/0001-58";5029;"D F VASCONC SA OPT MEC A PREC"
"12.108.897/0001-50";25046;"D1000 VAREJO FARMA PARTICIPAÇÕES S.A."
"59.172.676/0001-05";5037;"DACUNHA SA"
"27.179.753/0001-62";5045;"DADALTO SA"
"02.312.604/0001-07";16950;"DALETH PARTICIPAÇÕES SA - EM LIQUIDAÇÃO"
"92.758.085/0001-90";248;"DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO"
"01.287.588/0001-79";24414;"DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS S.A."
"33.387.382/0001-07";5061;"DATAMEC SA SIST PROC DE DADOS"
"03.114.361/0001-57";20095;"DATASUL S/A"
"07.704.246/0001-93";26557;"DATORA PARTICIPAÇÕES E SERVIÇOS S/A"
"88.616.735/0001-95";5070;"DE ANTONI SA MAQS IMPL AGRIC"
"61.146.650/0001-34";5088;"DE MAIO GALLO S.A IND. COM. PÇS P/ AUTOM"
"54.360.912/0001-01";5096;"DEDINI SA ADM E PARTICIPACOES"
"48.170.765/0001-04";5100;"DEDINI SA SIDERURGICA"
"59.359.539/0001-84";13625;"DEDIPAR SA PARTICIPACOES"
"12.395.010/0001-52";23191;"DELUXE MOTORS S.A."
"62.464.904/0001-25";14699;"DERSA DESENVOLVIMENTO RODOVIARIO SA"
"08.170.849/0001-15";26026;"DESKTOP S.A"
"47.240.585/0001-80";5142;"DESTILARIA R S SA"
"97.837.181/0001-47";21091;"DEXCO S.A."
"97.837.181/0001-47";21091;"DEXCO S.A."
"02.193.750/0001-52";16632;"DEXXOS PARTICPAÇÕES S.A."
"57.247.900/0001-55";13390;"DFV AUTOMACAO E ROBOTICA SA"
"92.825.900/0001-96";5150;"DHB IND E COMERCIO SA"
"61.486.650/0001-83";19623;"DIAGNOSTICOS DA AMERICA SA"
"61.486.650/0001-83";19623;"DIAGNOSTICOS DA AMERICA SA"
"60.930.468/0001-07";5169;"DIAMETRO EMPREENDIMENTOS SA"
"00.664.949/0001-96";15059;"DIAMONDMALL SA EMPREENDS PARTS"
"65.654.303/0001-73";14214;"DIBENS LEASING S.A.- ARREND. MERCANTIL"
"89.547.269/0001-04";12858;"DIGITEL S.A. INDUSTRIA ELETRONICA - EM RECUPERAÇÃO JUDICIAL"
"40.173.064/0001-09";13838;"DIJON SA"
"92.665.611/0001-77";9342;"DIMED SA DISTRIBUIDORA DE MEDICAMENTOS"
"92.665.611/0001-77";9342;"DIMED SA DISTRIBUIDORA DE MEDICAMENTOS"
"07.659.538/0001-51";20052;"DINAMICA ENERGIA S/A"
"16.614.075/0001-00";21350;"DIRECIONAL ENGENHARIA SA"
"04.211.850/0001-90";5177;"DISMAC INDUSTRIAL SA"
"92.689.256/0001-76";5193;"DISTRIB PRODUTOS PETROLEO IPIRANGA S.A."
"01.125.282/0001-16";18945;"DISTRIBUIDORA DE PETROLEO DA BAHIA SA"
"61.160.008/0001-00";13846;"DIXIE LALEKLA SA"
"60.394.723/0001-44";14931;"DIXIE TOGA SA"
"33.433.665/0001-48";3182;"DOCAS INVESTIMENTOS SA"
"02.207.388/0001-21";16870;"DOCASNET SA"
"84.683.408/0001-03";5207;"DOHLER S.A."
"01.252.296/0001-09";15806;"DOMINIUM PAR SA"
"60.646.502/0001-16";5215;"DOMINIUM SA"
"04.034.792/0001-76";19070;"DOMMO EMPREENDIMENTOS IMOBILIÁRIOS S.A."
"08.926.302/0001-05";23493;"DOMMO ENERGIA S.A."
"31.119.639/0001-14";3212;"DONA ISABEL SA"
"52.123.916/0001-32";26360;"DORI ALIMENTOS S.A."
"18.174.270/0001-84";25836;"DOTZ S.A."
"82.610.726/0001-00";11363;"DOUAT CIA TEXTIL"
"33.387.549/0001-30";5223;"DOVA SA"
"60.435.351/0001-57";5231;"DOW QUIMICA SA"
"03.382.891/0001-86";18511;"DR. INVEST S/A"
"84.683.481/0001-77";5240;"DROGARIA FARM CATARINENSE SA"
"12.492.734/0001-14";22837;"DROGARIAS AMERICANAS SA"
"03.303.999/0001-36";18597;"DTCOM - DIRECT TO COMPANY S.A."
"03.303.999/0001-36";18597;"DTCOM - DIRECT TO COMPANY S.A."
"87.266.359/0001-93";8257;"DURATEX MADEIRA AGLOMERADA SA"
"61.194.080/0001-58";5274;"DURATEX SA"
"60.881.422/0001-45";620;"DUREX INDUSTRIAL SA"
"10.382.341/0001-22";22047;"DUXXI IMOBILIÁRIA S.A."
"02.535.294/0001-81";17795;"EASYPAR SA"
"10.847.761/0001-37";21784;"EBX BRASIL SA"
"51.218.089/0001-06";13331;"ECIL SA PRODS E SIST MED CONT"
"33.261.561/0001-01";5339;"ECISA ENG COM E INDUSTRIA SA"
"02.151.985/0001-81";16578;"ECO HILLS SA"
"10.753.164/0001-43";21741;"ECO. SEC. DTOS. CREDIT. AGRONEGÓCIOS S/A"
"19.208.022/0001-70";23884;"ECO050 - CONCESSIONÁRIA DE RODOVIAS S.A."
"15.484.093/0001-44";23582;"ECO101 CONCESSIONÁRIA DE RODOVIAS S.A."
"15.102.080/0001-63";13943;"ECONOMICO SA ARREND MERCANTIL"
"13.587.050/0001-69";13536;"ECONOMICO SA EMPREENDIMENTOS"
"08.873.873/0001-10";21903;"ECORODOVIAS CONCESSÕES E SERVIÇOS S/A"
"04.149.454/0001-80";19453;"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A."
"27.092.587/0001-62";24325;"EDAFO SECURITIZADORA S.A."
"89.411.771/0001-85";5347;"EDISA HEWLETT-PACKARD SA"
"02.183.757/0001-93";19143;"EDITORA ABRIL S/A"
"60.598.059/0001-55";13706;"EDITORA ABRIL SA"
"60.598.059/0001-55";14281;"EDITORA ABRIL SA"
"33.270.240/0001-65";5355;"EDITORA DE GUIAS LTB SA"
"61.383.279/0001-24";8052;"EDITORA LISA SA LIVROS IRRADT"
"13.565.502/0001-01";5363;"EDN ESTIRENO DO NORDESTE SA"
"03.983.431/0001-03";19763;"EDP ENERGIAS DO BRASIL S/A"
"03.983.431/0001-03";19763;"EDP ENERGIAS DO BRASIL S/A"
"28.152.650/0001-71";15342;"EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A."
"02.302.100/0001-06";16985;"EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A."
"12.668.792/0001-56";22713;"EGEU PARTICIPAÇÕES SA"
"92.696.038/0001-69";5371;"EICOM ENG IND E COMERCIO SA"
"00.261.304/0001-02";16411;"EISA ESTALEIRO ILHA SA"
"12.610.097/0001-33";22896;"EKOPARKING SA"
"07.401.436/0001-31";22810;"ELDORADO BRASIL CELULOSE S.A."
"53.843.777/0001-84";12122;"ELEBRA SA ELETR BRASILEIRA"
"82.643.537/0001-34";5380;"ELECTRO AÇO ALTONA S/A"
"76.487.032/0001-25";10006;"ELECTROLUX DO BRASIL SA"
"13.788.120/0001-47";4359;"ELEKEIROZ S/A"
"13.788.120/0001-47";4359;"ELEKEIROZ S/A"
"10.362.796/0001-86";12556;"ELEKEIROZ SA"
"02.328.280/0001-97";17485;"ELEKTRO REDES S.A."
"01.104.937/0001-70";15784;"ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR"
"51.702.975/0001-00";5398;"ELETRODIGI ELETR DIGITAL SA"
"76.498.179/0001-10";15474;"ELETROFRIO SA"
"09.347.516/0001-81";25569;"ELETROMIDIA S.A."
"10.216.117/0001-60";5428;"ELETROMOURA SA"
"01.729.228/0001-80";16403;"ELETRON PNSC SA"
"00.514.998/0001-42";16209;"ELETRON SA"
"03.052.673/0001-83";18740;"ELETRONET S/A"
"61.695.227/0001-93";14176;"ELETROPAULO METROPOLITANA EL.S.PAULO S.A"
"61.695.227/0001-93";14176;"ELETROPAULO METROPOLITANA EL.S.PAULO S.A"
"20.789.145/0001-20";14974;"ELETROSILEX SA"
"22.164.990/0001-36";22373;"ELETROSOM S/A - EM RECUPERAÇÃO JUDICIAL"
"92.776.665/0001-00";12238;"ELEVA ALIMENTOS S/A"
"00.028.986/0001-08";15598;"ELEVADORES ATLAS SCHINDLER SA"
"90.347.840/0001-18";5436;"ELEVADORES SUR SA IND COM"
"09.053.134/0001-45";25348;"ELFA MEDICAMENTOS S.A."
"52.556.578/0001-22";5444;"ELGIN MAQUINAS SA"
"92.760.891/0001-00";5460;"ELIZIARIO SA CORROC E ONIBUS"
"57.488.645/0001-32";5479;"ELUMA SA INDUSTRIA E COMERCIO"
"02.302.101/0001-42";16993;"EMAE EMP.METROPOLITANA ÁGUAS ENERGIA S.A"
"17.992.538/0001-22";5487;"EMBAUBA FLORESTAL SA"
"51.739.530/0001-97";5495;"EMBAUBA SA DES ENERGETICO"
"42.331.462/0001-31";15458;"EMBPAR PARTICIPAÇÕES S/A"
"60.208.493/0001-81";5509;"EMBRAER EMP BRAS AERON SA"
"07.689.002/0001-89";20087;"EMBRAER S.A."
"01.969.933/0001-54";16764;"EMBRAH TRUST SA"
"02.558.124/0001-12";17647;"EMBRATEL PARTICIPAÇÕES SA"
"19.403.252/0001-90";25909;"EMCCAMP RESIDENCIAL S.A."
"76.491.828/0001-51";5525;"EMILIO ROMANI SA"
"84.720.630/0001-20";5550;"EMP BRAS COMPRES SA - EMBRACO"
"33.220.880/0001-60";5568;"EMP BRAS SOLDA ELETRICA SA"
"33.497.660/0001-89";18171;"EMP CINEMAS SAO LUIZ SA"
"03.982.931/0001-20";14877;"EMP SANEAM M GROSSO DO SUL S.A. -SANESUL"
"01.971.614/0001-83";16497;"EMP.NAC. DE COMÉRCIO, RÉDITO E PART. S.A. - ENCORPAR"
"02.222.736/0001-30";19011;"EMPR. CONCESS. DE RODOVIAS DO NORTE S.A. - ECONORTE"
"06.626.253/0001-51";22608;"EMPREENDIMENTOS PAGUE MENOS SA"
"61.076.998/0001-00";5541;"EMPREENDS ADM COM ANNA SA"
"02.511.048/0001-90";19283;"EMPRESA CONC.DE RODOV.DO SUL S/A ECOSUL"
"11.669.021/0001-10";22365;"ENAUTA PARTICIPAÇÕES S.A."
"21.262.638/0001-70";23701;"ENCALSO PARTICIPAÇÕES EM CONCESSÕES S.A."
"01.414.107/0001-49";15849;"ENERGIPAR PARTICIPAÇÕES S.A."
"03.467.321/0001-99";14605;"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A."
"15.413.826/0001-50";5576;"ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A"
"19.527.639/0001-58";3271;"ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A"
"09.095.183/0001-40";21938;"ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A"
"00.864.214/0001-06";15253;"ENERGISA SA"
