"CNPJ";"CD_CVM";"DENOM_SOCIAL"
"76.491.661/0001-29";396;"ANCORA COMERCIAL SA"
"60.503.232/0001-94";400;"ANDERSON CLAYTON SA IND E COM"
"03.601.314/0001-38";19437;"ANDRADE GUTIERREZ CONCESSOES SA"
"04.031.960/0001-70";19062;"ANDRADE GUTIERREZ PARTICIPAÇÕES SA"
"38.482.780/0001-26";26832;"ANEMUS WIND HOLDING S.A."
"04.310.392/0001-46";18961;"ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A."
"09.288.252/0001-32";23248;"ANIMA HOLDING S/A"
"60.661.451/0001-00";12416;"ANSON SA ENG FUND RECUPERACOES"
"33.017.088/0001-03";426;"APOLO PRODUTOS DE ACO SA"
"11.197.023/0001-54";22101;"AQUA-RIO S/A"
"45.169.000/0001-58";12564;"AQUATEC QUIMICA SA"
"09.439.783/0001-89";21512;"ÁQUILLA SECURITIZADORA SA"
"15.914.972/0001-69";22950;"AR CAPITAL SECURITIES COMPANHIA SECURITIZADORA S.A."
"42.157.511/0001-61";434;"ARACRUZ CELULOSE S/A"
"17.805.110/0001-23";485;"ARAFERTIL SA"
"02.517.787/0001-99";442;"ARAGUAIA CIA INDL DE PROD ALIM"
"01.543.362/0001-91";13161;"ARAGUAIA SA MIN RACOES FERTIL"
"76.516.921/0001-73";9806;"ARAPUA IMPORTACAO COMERCIO SA"
"03.616.277/0001-31";18651;"ARAUCÁRIA PARTICIPAÇÕES SA"
"00.237.000/0001-00";14788;"ARBRA SA"
"24.315.012/0001-73";3964;"ARCELOR BRASIL S.A."
"33.390.170/0001-89";2658;"ARCELORMITTAL INOX BRASIL S.A."
"92.660.158/0001-06";507;"ARCON SA IND ELETROMETALURGICA"
"02.036.233/0001-70";16926;"ARDOSIA PARTICIPACOES SA"
"16.590.234/0001-76";22349;"AREZZO INDÚSTRIA E COMERCIO S/A"
"02.036.220/0001-09";16888;"ARGENTUM PARTICIPACOES SA"
"24.624.551/0001-94";24120;"ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S.A."
"24.624.490/0001-65";24210;"ARGO TRANSMISSÃO DE ENERGIA S.A."
"02.605.028/0001-88";17566;"ARGOLIS HOLDINGS S.A."
"02.992.440/0001-06";18341;"ARGOLIS PARTICIPAÇÕES S/A"
"00.242.184/0001-04";26069;"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A."
"15.109.747/0001-50";515;"ARMAZENS GERAIS EMPR UNIAO SA"
"61.064.978/0001-01";523;"ARNO SA"
"10.976.124/0001-60";531;"ARTEFATOS PAPEL NE SA ARTEPE"
"02.919.555/0001-67";19771;"ARTERIS S.A."
"92.189.356/0001-33";574;"ARTHUR LANGE SA IND E COM"
"09.359.927/0001-97";26514;"ASA BRANCA HOLDING S.A."
"33.319.617/0001-23";582;"ASBERIT SA"
"04.944.815/0001-80";590;"ASO METAL SA"
"75.315.333/0001-09";24171;"ATACADÃO S.A."
"75.315.333/0001-09";24171;"ATACADÃO S.A."
"31.701.408/0001-14";25810;"ATHENA SAÚDE BRASIL S.A."
"13.720.918/0001-57";22918;"ATIVOS BRASILEIROS S.A."
"02.445.817/0001-07";18252;"ATL - ALGAR TELECOM LESTE S.A."
"01.431.728/0001-30";17990;"ATLÂNTICA EMPREEND.IMOBILIÁRIOS S/A"
"12.610.165/0001-64";22934;"ATLETAS BRASILEIROS S/A"
"04.032.433/0001-80";19100;"ATMA  PARTICIPAÇÕES  S.A."
"61.510.996/0001-70";604;"ATMA SA"
"00.886.257/0001-92";20591;"ATMOSFERA GESTÃO E HIGIENIZAÇÃO DE TÊXTEIS SA"
"00.359.742/0001-08";15423;"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A."
"03.453.981/0001-10";18562;"AUFERVILLE TRUST SA"
"08.213.823/0001-07";26590;"AURA ALMAS MINERAÇÃO S.A."
"28.594.234/0001-23";26620;"AUREN ENERGIA S.A"
"00.160.436/0001-48";14656;"AUSTRAL INVESTIMENTOS SA"
"47.709.365/0001-53";14419;"AUTEL SA TELECOMUNICAÇOES"
"59.104.513/0001-95";22381;"AUTOMETAL S/A"
"09.326.342/0001-70";21989;"AUTOPISTA FERNÃO DIAS SA"
"09.324.949/0001-11";22004;"AUTOPISTA FLUMINENSE SA"
"09.313.969/0001-97";21997;"AUTOPISTA LITORAL SUL"
