"DT_REFER";"CD_CVM";"DENOM_CIA";"COLUNA_DF";"VL_CONTA"
2010;20370;"LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.";"Patrimônio Líquido";261847
2010;20400;"SAFRA COMPANHIA SECURITIZADORA DE CREDITOS IMOBILIARIOS";"Patrimônio Líquido";371916
2010;20605;"JHSF PARTICIPACOES S.A.";"Patrimônio Líquido";1067752
2010;20770;"EZ TEC EMPREEND. E PARTICIPACOES S.A.";"Patrimônio Líquido";1098520
2010;20915;"MRV ENGENHARIA E PARTICIPACOES S.A.";"Patrimônio Líquido";2874853
2010;21490;"ALUPAR INVESTIMENTO S/A";"Patrimônio Líquido";1341230
2010;4669;"GUARARAPES CONFECCOES S.A.";"Patrimônio Líquido";1949478
2010;20540;"CPFL ENERGIAS RENOVÁVEIS S.A.";"Patrimônio Líquido";882611
2010;21636;"RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL";"Patrimônio Líquido";288584
2010;21393;"CIA CELG DE PARTICIPACOES - CELGPAR";"Patrimônio Líquido";-628385
2010;21539;"REP REAL ESTATE PARTNERS DESENV IMOB SA";"Patrimônio Líquido";81045
2010;21180;"BRASIL BROKERS PARTICIPACOES S.A.";"Patrimônio Líquido";450630
2010;20850;"ALLIS PARTICIPAÇÕES S.A.";"Patrimônio Líquido";36267
2010;20842;"MAGNESITA REFRATARIOS S.A.";"Patrimônio Líquido";2201346
2010;20907;"BHG S.A. - BRAZIL HOSPITALITY GROUP";"Patrimônio Líquido";628217
2010;21482;"PRUMO LOGISTICA SA";"Patrimônio Líquido";911513
2010;21008;"GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.";"Patrimônio Líquido";371114
2010;21040;"CYRELA COMMERCIAL PROPERT S.A. EMPR PART";"Patrimônio Líquido";469703
2010;21016;"YDUQS PARTICIPACOES S.A.";"Patrimônio Líquido";585898
2010;21130;"TRISUL S.A.";"Patrimônio Líquido";502993
